"","date_time","temp","do_obs","local_tz","daylight_savings","lake_id","depth","depth_from","location","sensor_num","salinity"
"1",2026-04-13 08:21:00,20.912,7.251,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"2",2026-04-13 08:26:00,20.954,7.26,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"3",2026-04-13 08:31:00,20.938,7.256,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"4",2026-04-13 08:36:00,20.904,7.274,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"5",2026-04-13 08:41:00,20.871,7.267,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"6",2026-04-13 08:46:00,20.871,7.273,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"7",2026-04-13 08:51:00,20.711,6.915,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"8",2026-04-13 08:56:00,18.597,7.397,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"9",2026-04-13 09:01:00,18.327,7.428,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"10",2026-04-13 09:06:00,18.26,7.423,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"11",2026-04-13 09:11:00,18.209,7.415,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"12",2026-04-13 09:16:00,18.201,7.407,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"13",2026-04-13 09:21:00,18.176,7.395,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"14",2026-04-13 09:26:00,18.15,7.398,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"15",2026-04-13 09:31:00,18.134,7.381,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"16",2026-04-13 09:36:00,18.117,7.383,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"17",2026-04-13 09:41:00,18.091,7.388,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"18",2026-04-13 09:46:00,18.1,7.37,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"19",2026-04-13 09:51:00,18.032,7.386,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"20",2026-04-13 09:56:00,18.066,7.38,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"21",2026-04-13 10:01:00,18.041,7.387,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"22",2026-04-13 10:06:00,18.024,7.387,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
"23",2026-04-13 10:11:00,18.015,7.387,"Mountain","Yes","20260413","bubble","bath","zmax","7450-646203",0
