datetime,doobs_2,doobs_2.5,doobs_4,local_TZ,daylight_savings,doobs_6.5
2023-10-01T06:00:00Z,NA,8.696,8.445666666666666,America/Denver,yes,8.361666666666666
2023-10-01T06:30:00Z,NA,8.662,8.454333333333333,America/Denver,yes,8.406666666666666
2023-10-01T07:00:00Z,NA,8.695,8.47,America/Denver,yes,8.416333333333332
2023-10-01T07:30:00Z,NA,8.676,8.478,America/Denver,yes,8.414666666666667
2023-10-01T08:00:00Z,NA,8.656,8.47,America/Denver,yes,8.464666666666666
2023-10-01T08:30:00Z,NA,8.637,8.451333333333334,America/Denver,yes,8.453666666666667
2023-10-01T09:00:00Z,NA,8.656,8.443666666666667,America/Denver,yes,8.442333333333334
2023-10-01T09:30:00Z,NA,8.641,8.437333333333333,America/Denver,yes,8.442
2023-10-01T10:00:00Z,NA,8.632,8.43,America/Denver,yes,8.42
2023-10-01T10:30:00Z,NA,8.637,8.412333333333333,America/Denver,yes,8.398
2023-10-01T11:00:00Z,NA,8.626,8.407333333333334,America/Denver,yes,8.412333333333335
2023-10-01T11:30:00Z,NA,8.613,8.406333333333333,America/Denver,yes,8.406333333333333
2023-10-01T12:00:00Z,NA,8.61,8.379333333333333,America/Denver,yes,8.398666666666667
2023-10-01T12:30:00Z,NA,8.595,8.386666666666667,America/Denver,yes,8.383000000000001
2023-10-01T13:00:00Z,NA,8.592,8.383333333333333,America/Denver,yes,8.394
2023-10-01T13:30:00Z,NA,8.566,8.377333333333334,America/Denver,yes,8.372333333333334
2023-10-01T14:00:00Z,NA,8.575,8.366666666666667,America/Denver,yes,8.359333333333334
2023-10-01T14:30:00Z,NA,8.597,8.374,America/Denver,yes,8.366333333333333
2023-10-01T15:00:00Z,NA,8.595,8.377666666666666,America/Denver,yes,8.380333333333333
2023-10-01T15:30:00Z,NA,8.607,8.375,America/Denver,yes,8.367333333333333
2023-10-01T16:00:00Z,NA,8.6,8.400666666666666,America/Denver,yes,8.386333333333333
2023-10-01T16:30:00Z,NA,8.624,8.422,America/Denver,yes,8.370666666666667
2023-10-01T17:00:00Z,NA,8.635,8.431333333333333,America/Denver,yes,8.417666666666666
2023-10-01T17:30:00Z,NA,8.639,8.444333333333333,America/Denver,yes,8.432666666666666
2023-10-01T18:00:00Z,NA,8.633,8.455,America/Denver,yes,8.405666666666667
2023-10-01T18:30:00Z,NA,8.708,8.469,America/Denver,yes,8.347000000000001
2023-10-01T19:00:00Z,NA,8.699,8.503333333333334,America/Denver,yes,8.415000000000001
2023-10-01T19:30:00Z,NA,8.723,8.487333333333334,America/Denver,yes,8.393
2023-10-01T20:00:00Z,NA,8.702,8.499,America/Denver,yes,8.405666666666667
2023-10-01T20:30:00Z,NA,8.737,8.508000000000001,America/Denver,yes,8.421333333333333
2023-10-01T21:00:00Z,NA,8.753,8.515,America/Denver,yes,8.410666666666668
2023-10-01T21:30:00Z,NA,8.738,8.506,America/Denver,yes,8.359666666666666
2023-10-01T22:00:00Z,NA,8.774,8.482,America/Denver,yes,8.378333333333334
2023-10-01T22:30:00Z,NA,8.755,8.566,America/Denver,yes,8.422666666666666
2023-10-01T23:00:00Z,NA,8.787,8.564,America/Denver,yes,8.468333333333334
2023-10-01T23:30:00Z,NA,8.789,8.579666666666666,America/Denver,yes,8.503333333333332
2023-10-02T00:00:00Z,NA,8.795,8.57,America/Denver,yes,8.450666666666667
2023-10-02T00:30:00Z,NA,8.778,8.577666666666666,America/Denver,yes,8.410333333333332
2023-10-02T01:00:00Z,NA,8.765,8.585333333333335,America/Denver,yes,8.403
2023-10-02T01:30:00Z,NA,8.74,8.568333333333333,America/Denver,yes,8.443666666666667
2023-10-02T02:00:00Z,NA,8.771,8.555,America/Denver,yes,8.406
2023-10-02T02:30:00Z,NA,8.757,8.554333333333334,America/Denver,yes,8.453666666666667
2023-10-02T03:00:00Z,NA,8.742,8.544333333333332,America/Denver,yes,8.466666666666667
2023-10-02T03:30:00Z,NA,8.729,8.542,America/Denver,yes,8.438333333333333
2023-10-02T04:00:00Z,NA,8.704,8.533,America/Denver,yes,8.472333333333333
2023-10-02T04:30:00Z,NA,8.703,8.525,America/Denver,yes,8.409666666666666
2023-10-02T05:00:00Z,NA,8.694,8.522666666666666,America/Denver,yes,8.404333333333334
2023-10-02T05:30:00Z,NA,8.669,8.513333333333334,America/Denver,yes,8.361333333333333
2023-10-02T06:00:00Z,NA,8.695,8.506666666666666,America/Denver,yes,8.307
2023-10-02T06:30:00Z,NA,8.696,8.496666666666666,America/Denver,yes,8.303666666666667
2023-10-02T07:00:00Z,NA,8.69,8.479333333333333,America/Denver,yes,8.429666666666666
2023-10-02T07:30:00Z,NA,8.628,8.483333333333334,America/Denver,yes,8.460666666666667
