datetime,wtr0.25,wtr1,wtr2,wtr2.5,wtr3,wtr4,wtr5,wtr6,wtr6.5
2023-10-01T06:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.671
2023-10-01T06:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.661
2023-10-01T06:20:00Z,NA,NA,NA,5.75,NA,NA,NA,NA,5.701
2023-10-01T06:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.701
2023-10-01T06:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.711
2023-10-01T06:50:00Z,NA,NA,NA,5.789,NA,NA,NA,NA,5.73
2023-10-01T07:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.75
2023-10-01T07:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.779
2023-10-01T07:20:00Z,NA,NA,NA,5.73,NA,NA,NA,NA,5.75
2023-10-01T07:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-01T07:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.75
2023-10-01T07:50:00Z,NA,NA,NA,5.74,NA,NA,NA,NA,5.74
2023-10-01T08:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.74
2023-10-01T08:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.74
2023-10-01T08:20:00Z,NA,NA,NA,5.72,NA,NA,NA,NA,5.76
2023-10-01T08:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-01T08:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-01T08:50:00Z,NA,NA,NA,5.77,NA,NA,NA,NA,5.74
2023-10-01T09:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.74
2023-10-01T09:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-01T09:20:00Z,NA,NA,NA,5.711,NA,NA,NA,NA,5.75
2023-10-01T09:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.75
2023-10-01T09:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.75
2023-10-01T09:50:00Z,NA,NA,NA,5.691,NA,NA,NA,NA,5.73
2023-10-01T10:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.72
2023-10-01T10:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.73
2023-10-01T10:20:00Z,NA,NA,NA,5.691,NA,NA,NA,NA,5.701
2023-10-01T10:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.661
2023-10-01T10:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.691
2023-10-01T10:50:00Z,NA,NA,NA,5.661,NA,NA,NA,NA,5.671
2023-10-01T11:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.691
2023-10-01T11:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.671
2023-10-01T11:20:00Z,NA,NA,NA,5.681,NA,NA,NA,NA,5.691
2023-10-01T11:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.701
2023-10-01T11:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.671
2023-10-01T11:50:00Z,NA,NA,NA,5.632,NA,NA,NA,NA,5.661
2023-10-01T12:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.661
2023-10-01T12:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.661
2023-10-01T12:20:00Z,NA,NA,NA,5.602,NA,NA,NA,NA,5.651
2023-10-01T12:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.642
2023-10-01T12:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.661
2023-10-01T12:50:00Z,NA,NA,NA,5.612,NA,NA,NA,NA,5.632
2023-10-01T13:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.612
2023-10-01T13:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.642
2023-10-01T13:20:00Z,NA,NA,NA,5.612,NA,NA,NA,NA,5.632
2023-10-01T13:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.612
2023-10-01T13:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.582
2023-10-01T13:50:00Z,NA,NA,NA,5.592,NA,NA,NA,NA,5.563
2023-10-01T14:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.553
2023-10-01T14:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.592
2023-10-01T14:20:00Z,NA,NA,NA,5.582,NA,NA,NA,NA,5.592
2023-10-01T14:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.573
2023-10-01T14:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.582
2023-10-01T14:50:00Z,NA,NA,NA,5.602,NA,NA,NA,NA,5.602
2023-10-01T15:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.573
2023-10-01T15:10:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.573
2023-10-01T15:20:00Z,NA,NA,NA,5.573,NA,NA,NA,NA,5.573
2023-10-01T15:30:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.612
2023-10-01T15:40:00Z,NA,NA,NA,NA,NA,NA,NA,NA,5.592
